Lugar de residencia;Medida;Valor;
Carrión de los Céspedes;Confirmados;1;
Carrión de los Céspedes;Defunciones;;
Chucena;Población;2222;
Chucena;Confirmados;1;
Chucena;Defunciones;;
Hinojos;Población;3976;
Hinojos;Confirmados;2;
Hinojos;Defunciones;;
Huévar del Aljarafe;Población;3015;
Huévar del Aljarafe;Confirmados;1;
Huévar del Aljarafe;Defunciones;;
Pilas;Población;13974;
Pilas;Confirmados;9;
Pilas;Defunciones;;
Villamanrique de la Condesa;Población;4459;
Villamanrique de la Condesa;Confirmados;1;
Villamanrique de la Condesa;Defunciones;;
Gelves;Población;10184;
Gelves;Confirmados;14;
Gelves;Defunciones;1;
San Juan de Aznalfarache;Población;21416;
San Juan de Aznalfarache;Confirmados;153;
San Juan de Aznalfarache;Defunciones;29;
Aznalcóllar;Población;6091;
Aznalcóllar;Confirmados;1;
Aznalcóllar;Defunciones;1;
Benacazón;Población;7241;
Benacazón;Confirmados;4;
Benacazón;Defunciones;;
Bollullos de la Mitación;Población;10787;
Bollullos de la Mitación;Confirmados;6;
Bollullos de la Mitación;Defunciones;;
Castilleja del Campo;Población;629;
Castilleja del Campo;Confirmados;;
Castilleja del Campo;Defunciones;;
Espartinas;Población;15791;
Espartinas;Confirmados;17;
Espartinas;Defunciones;;
Sanlúcar la Mayor;Población;13808;
Sanlúcar la Mayor;Confirmados;11;
Sanlúcar la Mayor;Defunciones;1;
Umbrete;Población;8894;
Umbrete;Confirmados;11;
Umbrete;Defunciones;;
Bormujos;Población;21972;
Bormujos;Confirmados;21;
Bormujos;Defunciones;;
Tomares;Población;25359;
Tomares;Confirmados;39;
Tomares;Defunciones;2;
Sevilla Este;Población;169515;
Sevilla Este;Confirmados;130;
Sevilla Este;Defunciones;15;
Écija;Población;39873;
Écija;Confirmados;17;
Écija;Defunciones;2;
Algámitas;Población;1255;
Algámitas;Confirmados;;
Algámitas;Defunciones;;
Corrales (Los);Población;3941;
Corrales (Los);Confirmados;3;
Corrales (Los);Defunciones;;
Martín de la Jara;Población;2704;
Martín de la Jara;Confirmados;3;
Martín de la Jara;Defunciones;;
Saucejo (El);Población;4284;
Saucejo (El);Confirmados;2;
Saucejo (El);Defunciones;;
Villanueva de San Juan;Población;1120;
Villanueva de San Juan;Confirmados;1;
Villanueva de San Juan;Defunciones;;
Badolatosa;Población;3078;
Badolatosa;Confirmados;;
Badolatosa;Defunciones;;
Casariche;Población;5456;
Casariche;Confirmados;2;
Casariche;Defunciones;;
Estepa;Población;12505;
Estepa;Confirmados;19;
Estepa;Defunciones;4;
Gilena;Población;3727;
Gilena;Confirmados;1;
Gilena;Defunciones;;
Herrera;Población;6461;
Herrera;Confirmados;7;
Herrera;Defunciones;1;
Lora de Estepa;Población;862;
Lora de Estepa;Confirmados;1;
Lora de Estepa;Defunciones;;
Marinaleda;Población;2627;
Marinaleda;Confirmados;1;
Marinaleda;Defunciones;;
Pedrera;Población;5194;
Pedrera;Confirmados;3;
Pedrera;Defunciones;;
Roda de Andalucía (La);Población;4183;
Roda de Andalucía (La);Confirmados;11;
Roda de Andalucía (La);Defunciones;;
Cañada Rosal;Población;3320;
Cañada Rosal;Confirmados;4;
Cañada Rosal;Defunciones;;
Fuentes de Andalucía;Población;7111;
Fuentes de Andalucía;Confirmados;5;
Fuentes de Andalucía;Defunciones;;
Luisiana (La);Población;4576;
Luisiana (La);Confirmados;2;
Luisiana (La);Defunciones;;
Marchena;Población;19457;
Marchena;Confirmados;29;
Marchena;Defunciones;6;
Aguadulce;Población;2020;
Aguadulce;Confirmados;;
Aguadulce;Defunciones;;
Lantejuela;Población;3814;
Lantejuela;Confirmados;;
Lantejuela;Defunciones;;
Osuna;Población;17560;
Osuna;Confirmados;13;
Osuna;Defunciones;;
Rubio (El);Población;3408;
Rubio (El);Confirmados;2;
Rubio (El);Defunciones;;
Puebla de Cazalla (La);Población;10979;
Puebla de Cazalla (La);Confirmados;4;
Puebla de Cazalla (La);Defunciones;2;
Sevilla Norte;Población;276764;
Sevilla Norte;Confirmados;209;
Sevilla Norte;Defunciones;22;
Alcalá del Río;Población;12029;
Alcalá del Río;Confirmados;5;
Alcalá del Río;Defunciones;;
Burguillos;Población;6716;
Burguillos;Confirmados;7;
Burguillos;Defunciones;;
Castilblanco de los Arroyos;Población;4864;
Castilblanco de los Arroyos;Confirmados;4;
Castilblanco de los Arroyos;Defunciones;;
Brenes;Población;12471;
Brenes;Confirmados;8;
Brenes;Defunciones;1;
Villaverde del Río;Población;7818;
Villaverde del Río;Confirmados;7;
Villaverde del Río;Defunciones;1;
Cantillana;Población;10684;
Cantillana;Confirmados;8;
Cantillana;Defunciones;1;
Tocina;Población;9501;
Tocina;Confirmados;9;
Tocina;Defunciones;;
Villanueva del Río y Minas;Población;4858;
Villanueva del Río y Minas;Confirmados;5;
Villanueva del Río y Minas;Defunciones;;
Carmona;Población;28531;
Carmona;Confirmados;19;
Carmona;Defunciones;2;
Alanís;Población;1723;
Alanís;Confirmados;1;
Alanís;Defunciones;;
Cazalla de la Sierra;Población;4718;
Cazalla de la Sierra;Confirmados;2;
Cazalla de la Sierra;Defunciones;1;
Guadalcanal;Población;2627;
Guadalcanal;Confirmados;;
Guadalcanal;Defunciones;;
Constantina;Población;5896;
Constantina;Confirmados;4;
Constantina;Defunciones;;
Navas de la Concepción (Las);Población;1559;
Navas de la Concepción (Las);Confirmados;1;
Navas de la Concepción (Las);Defunciones;;
Pedroso (El);Población;2018;
Pedroso (El);Confirmados;7;
Pedroso (El);Defunciones;3;
San Nicolás del Puerto;Población;596;
San Nicolás del Puerto;Confirmados;;
San Nicolás del Puerto;Defunciones;;
Almadén de la Plata;Población;1355;
Almadén de la Plata;Confirmados;;
Almadén de la Plata;Defunciones;;
Castillo de las Guardas (El);Población;1443;
Castillo de las Guardas (El);Confirmados;1;
Castillo de las Guardas (El);Defunciones;;
Garrobo (El);Población;790;
Garrobo (El);Confirmados;;
Garrobo (El);Defunciones;;
Gerena;Población;7585;
Gerena;Confirmados;7;
Gerena;Defunciones;;
Guillena;Población;12788;
Guillena;Confirmados;6;
Guillena;Defunciones;1;
Madroño (El);Población;278;
Madroño (El);Confirmados;;
Madroño (El);Defunciones;;
