Lugar de residencia;Medida;Valor;
Valle del Guadalhorce;Población;153276;
Valle del Guadalhorce;Confirmados total;245;
Valle del Guadalhorce;Defunciones total;24;
Valle del Guadalhorce;Confirmados < 14 días;40;
Alhaurín de la Torre;Población;40345;
Alhaurín de la Torre;Confirmados total;93;
Alhaurín de la Torre;Defunciones total;6;
Alhaurín de la Torre;Confirmados < 14 días;22;
Alhaurín el Grande;Población;24705;
Alhaurín el Grande;Confirmados total;37;
Alhaurín el Grande;Defunciones total;4;
Alhaurín el Grande;Confirmados < 14 días;3;
Álora;Población;12985;
Álora;Confirmados total;31;
Álora;Defunciones total;3;
Álora;Confirmados < 14 días;6;
Ardales;Población;2500;
Ardales;Confirmados total;3;
Ardales;Defunciones total;;
Ardales;Confirmados < 14 días;0;
Carratraca;Población;731;
Carratraca;Confirmados total;;
Carratraca;Defunciones total;;
Carratraca;Confirmados < 14 días;;
Alozaina;Población;2051;
Alozaina;Confirmados total;1;
Alozaina;Defunciones total;;
Alozaina;Confirmados < 14 días;0;
Casarabonela;Población;2502;
Casarabonela;Confirmados total;1;
Casarabonela;Defunciones total;;
Casarabonela;Confirmados < 14 días;0;
Tolox;Población;2107;
Tolox;Confirmados total;;
Tolox;Defunciones total;;
Tolox;Confirmados < 14 días;;
Yunquera;Población;2864;
Yunquera;Confirmados total;7;
Yunquera;Defunciones total;2;
Yunquera;Confirmados < 14 días;0;
Cártama;Población;26259;
Cártama;Confirmados total;36;
Cártama;Defunciones total;3;
Cártama;Confirmados < 14 días;4;
Pizarra;Población;9226;
Pizarra;Confirmados total;6;
Pizarra;Defunciones total;1;
Pizarra;Confirmados < 14 días;0;
Coín;Población;22147;
Coín;Confirmados total;24;
Coín;Defunciones total;2;
Coín;Confirmados < 14 días;5;
Guaro;Población;2260;
Guaro;Confirmados total;6;
Guaro;Defunciones total;3;
Guaro;Confirmados < 14 días;0;
Monda;Población;2594;
Monda;Confirmados total;;
Monda;Defunciones total;;
Monda;Confirmados < 14 días;;
Costa del Sol;Población;546811;
Costa del Sol;Confirmados total;602;
Costa del Sol;Defunciones total;38;
Costa del Sol;Confirmados < 14 días;93;
Casares;Población;6515;
Casares;Confirmados total;1;
Casares;Defunciones total;;
Casares;Confirmados < 14 días;0;
Estepona;Población;68286;
Estepona;Confirmados total;45;
Estepona;Defunciones total;4;
Estepona;Confirmados < 14 días;11;
Manilva;Población;15528;
Manilva;Confirmados total;3;
Manilva;Defunciones total;;
Manilva;Confirmados < 14 días;0;
Fuengirola;Población;80309;
Fuengirola;Confirmados total;58;
Fuengirola;Defunciones total;2;
Fuengirola;Confirmados < 14 días;9;
Mijas;Población;82742;
Mijas;Confirmados total;60;
Mijas;Defunciones total;3;
Mijas;Confirmados < 14 días;10;
Benahavís;Población;8085;
Benahavís;Confirmados total;7;
Benahavís;Defunciones total;;
Benahavís;Confirmados < 14 días;3;
Istán;Población;1469;
Istán;Confirmados total;;
Istán;Defunciones total;;
Istán;Confirmados < 14 días;;
Marbella;Población;143386;
Marbella;Confirmados total;225;
Marbella;Defunciones total;13;
Marbella;Confirmados < 14 días;45;
Ojén;Población;3702;
Ojén;Confirmados total;;
Ojén;Defunciones total;;
Ojén;Confirmados < 14 días;;
Benalmádena;Población;68128;
Benalmádena;Confirmados total;101;
Benalmádena;Defunciones total;10;
Benalmádena;Confirmados < 14 días;10;
Torremolinos;Población;68661;
Torremolinos;Confirmados total;102;
Torremolinos;Defunciones total;6;
Torremolinos;Confirmados < 14 días;5;
Málaga (distrito);Población;628045;
Málaga (distrito);Confirmados total;1802;
Málaga (distrito);Defunciones total;141;
Málaga (distrito);Confirmados < 14 días;335;
Almogía;Población;3715;
Almogía;Confirmados total;5;
Almogía;Defunciones total;2;
Almogía;Confirmados < 14 días;1;
Málaga (capital);Población;574654;
Málaga (capital);Confirmados total;1681;
Málaga (capital);Defunciones total;133;
Málaga (capital);Confirmados < 14 días;315;
Totalán;Población;746;
Totalán;Confirmados total;;
Totalán;Defunciones total;;
Totalán;Confirmados < 14 días;;
Macharaviaya;Población;480;
Macharaviaya;Confirmados total;;
Macharaviaya;Defunciones total;;
Macharaviaya;Confirmados < 14 días;;
Moclinejo;Población;1271;
Moclinejo;Confirmados total;1;
Moclinejo;Defunciones total;;
Moclinejo;Confirmados < 14 días;0;
Rincón de la Victoria;Población;47179;
Rincón de la Victoria;Confirmados total;115;
Rincón de la Victoria;Defunciones total;6;
Rincón de la Victoria;Confirmados < 14 días;19;
Serranía;Población;55247;
Serranía;Confirmados total;116;
Serranía;Defunciones total;12;
Serranía;Confirmados < 14 días;20;
Algatocín;Población;793;
Algatocín;Confirmados total;1;
Algatocín;Defunciones total;;
Algatocín;Confirmados < 14 días;1;
Atajate;Población;168;
Atajate;Confirmados total;;
Atajate;Defunciones total;;
Atajate;Confirmados < 14 días;;
Benadalid;Población;215;
Benadalid;Confirmados total;;
Benadalid;Defunciones total;;
Benadalid;Confirmados < 14 días;;
Benalauría;Población;438;
Benalauría;Confirmados total;;
Benalauría;Defunciones total;;
Benalauría;Confirmados < 14 días;;
Benarrabá;Población;455;
Benarrabá;Confirmados total;;
Benarrabá;Defunciones total;;
Benarrabá;Confirmados < 14 días;;
Gaucín;Población;1576;
Gaucín;Confirmados total;;
Gaucín;Defunciones total;;
Gaucín;Confirmados < 14 días;;
Genalguacil;Población;410;
Genalguacil;Confirmados total;1;
Genalguacil;Defunciones total;;
Genalguacil;Confirmados < 14 días;0;
Jubrique;Población;528;
Jubrique;Confirmados total;;
Jubrique;Defunciones total;;
Jubrique;Confirmados < 14 días;;
Benaoján;Población;1476;
Benaoján;Confirmados total;;
Benaoján;Defunciones total;;
Benaoján;Confirmados < 14 días;;
Cortes de la Frontera;Población;3101;
Cortes de la Frontera;Confirmados total;1;
Cortes de la Frontera;Defunciones total;;
Cortes de la Frontera;Confirmados < 14 días;0;
Jimera de Líbar;Población;372;
Jimera de Líbar;Confirmados total;;
Jimera de Líbar;Defunciones total;;
Jimera de Líbar;Confirmados < 14 días;;
Montejaque;Población;964;
Montejaque;Confirmados total;;
Montejaque;Defunciones total;;
Montejaque;Confirmados < 14 días;;
Alpandeire;Población;260;
Alpandeire;Confirmados total;;
Alpandeire;Defunciones total;;
Alpandeire;Confirmados < 14 días;;
Arriate;Población;4102;
Arriate;Confirmados total;10;
Arriate;Defunciones total;;
Arriate;Confirmados < 14 días;3;
Burgo (El);Población;1800;
Burgo (El);Confirmados total;1;
Burgo (El);Defunciones total;;
Burgo (El);Confirmados < 14 días;0;
Cartajima;Población;253;
Cartajima;Confirmados total;;
Cartajima;Defunciones total;;
Cartajima;Confirmados < 14 días;;
Cuevas del Becerro;Población;1589;
Cuevas del Becerro;Confirmados total;4;
Cuevas del Becerro;Defunciones total;;
Cuevas del Becerro;Confirmados < 14 días;0;
Faraján;Población;253;
Faraján;Confirmados total;;
Faraján;Defunciones total;;
Faraján;Confirmados < 14 días;;
Igualeja;Población;763;
Igualeja;Confirmados total;1;
Igualeja;Defunciones total;1;
Igualeja;Confirmados < 14 días;0;
Júzcar;Población;232;
