Fecha diagnóstico;Edad;Medida;Valor;
22/11/2021;De 0 a 4 años; ;35;
22/11/2021;De 5 a 11 años; ;58;
22/11/2021;De 12 a 19 años; ;28;
22/11/2021;De 20 a 29 años; ;47;
22/11/2021;De 30 a 39 años; ;111;
22/11/2021;De 40 a 49 años; ;156;
22/11/2021;De 50 a 59 años; ;102;
22/11/2021;De 60 a 69 años; ;77;
22/11/2021;De 65 años; ;10;
22/11/2021;De 66 años; ;4;
22/11/2021;De 67 años; ;4;
22/11/2021;De 68 años; ;8;
22/11/2021;De 69 años; ;7;
22/11/2021;De 70 a 79 años; ;42;
22/11/2021;De 80 y más años; ;18;
21/11/2021;TOTAL; ;264;
21/11/2021;De 0 a 4 años; ;6;
21/11/2021;De 5 a 11 años; ;30;
21/11/2021;De 12 a 19 años; ;12;
21/11/2021;De 20 a 29 años; ;18;
21/11/2021;De 30 a 39 años; ;50;
21/11/2021;De 40 a 49 años; ;50;
21/11/2021;De 50 a 59 años; ;32;
21/11/2021;De 60 a 69 años; ;39;
21/11/2021;De 65 años; ;4;
21/11/2021;De 66 años; ;4;
21/11/2021;De 67 años; ;8;
21/11/2021;De 68 años; ;4;
21/11/2021;De 69 años; ;2;
21/11/2021;De 70 a 79 años; ;16;
21/11/2021;De 80 y más años; ;11;
20/11/2021;TOTAL; ;478;
20/11/2021;De 0 a 4 años; ;27;
20/11/2021;De 5 a 11 años; ;70;
20/11/2021;De 12 a 19 años; ;21;
20/11/2021;De 20 a 29 años; ;49;
20/11/2021;De 30 a 39 años; ;75;
20/11/2021;De 40 a 49 años; ;87;
20/11/2021;De 50 a 59 años; ;58;
20/11/2021;De 60 a 69 años; ;50;
20/11/2021;De 65 años; ;4;
20/11/2021;De 66 años; ;5;
20/11/2021;De 67 años; ;3;
20/11/2021;De 68 años; ;4;
20/11/2021;De 69 años; ;5;
20/11/2021;De 70 a 79 años; ;30;
20/11/2021;De 80 y más años; ;11;
19/11/2021;TOTAL; ;629;
19/11/2021;De 0 a 4 años; ;28;
19/11/2021;De 5 a 11 años; ;72;
19/11/2021;De 12 a 19 años; ;32;
19/11/2021;De 20 a 29 años; ;50;
19/11/2021;De 30 a 39 años; ;88;
19/11/2021;De 40 a 49 años; ;118;
19/11/2021;De 50 a 59 años; ;95;
19/11/2021;De 60 a 69 años; ;89;
19/11/2021;De 65 años; ;6;
19/11/2021;De 66 años; ;9;
19/11/2021;De 67 años; ;7;
19/11/2021;De 68 años; ;13;
19/11/2021;De 69 años; ;7;
19/11/2021;De 70 a 79 años; ;38;
19/11/2021;De 80 y más años; ;18;
18/11/2021;TOTAL; ;692;
18/11/2021;De 0 a 4 años; ;26;
18/11/2021;De 5 a 11 años; ;85;
18/11/2021;De 12 a 19 años; ;27;
18/11/2021;De 20 a 29 años; ;73;
18/11/2021;De 30 a 39 años; ;92;
18/11/2021;De 40 a 49 años; ;129;
18/11/2021;De 50 a 59 años; ;93;
18/11/2021;De 60 a 69 años; ;104;
18/11/2021;De 65 años; ;10;
18/11/2021;De 66 años; ;13;
18/11/2021;De 67 años; ;9;
18/11/2021;De 68 años; ;16;
18/11/2021;De 69 años; ;8;
18/11/2021;De 70 a 79 años; ;45;
18/11/2021;De 80 y más años; ;18;
17/11/2021;TOTAL; ;711;
17/11/2021;De 0 a 4 años; ;16;
17/11/2021;De 5 a 11 años; ;80;
17/11/2021;De 12 a 19 años; ;43;
17/11/2021;De 20 a 29 años; ;53;
17/11/2021;De 30 a 39 años; ;123;
17/11/2021;De 40 a 49 años; ;122;
17/11/2021;De 50 a 59 años; ;127;
17/11/2021;De 60 a 69 años; ;84;
17/11/2021;De 65 años; ;10;
17/11/2021;De 66 años; ;8;
17/11/2021;De 67 años; ;8;
17/11/2021;De 68 años; ;3;
17/11/2021;De 69 años; ;8;
17/11/2021;De 70 a 79 años; ;39;
17/11/2021;De 80 y más años; ;24;
16/11/2021;TOTAL; ;801;
16/11/2021;De 0 a 4 años; ;23;
16/11/2021;De 5 a 11 años; ;118;
16/11/2021;De 12 a 19 años; ;41;
16/11/2021;De 20 a 29 años; ;81;
16/11/2021;De 30 a 39 años; ;116;
16/11/2021;De 40 a 49 años; ;156;
16/11/2021;De 50 a 59 años; ;107;
16/11/2021;De 60 a 69 años; ;93;
16/11/2021;De 65 años; ;8;
16/11/2021;De 66 años; ;6;
16/11/2021;De 67 años; ;13;
16/11/2021;De 68 años; ;13;
16/11/2021;De 69 años; ;8;
16/11/2021;De 70 a 79 años; ;50;
16/11/2021;De 80 y más años; ;16;
15/11/2021;TOTAL; ;443;
15/11/2021;De 0 a 4 años; ;7;
15/11/2021;De 5 a 11 años; ;35;
15/11/2021;De 12 a 19 años; ;12;
15/11/2021;De 20 a 29 años; ;49;
15/11/2021;De 30 a 39 años; ;66;
15/11/2021;De 40 a 49 años; ;84;
15/11/2021;De 50 a 59 años; ;82;
15/11/2021;De 60 a 69 años; ;53;
15/11/2021;De 65 años; ;5;
15/11/2021;De 66 años; ;3;
15/11/2021;De 67 años; ;4;
15/11/2021;De 68 años; ;4;
15/11/2021;De 69 años; ;3;
15/11/2021;De 70 a 79 años; ;43;
15/11/2021;De 80 y más años; ;12;
14/11/2021;TOTAL; ;185;
14/11/2021;De 0 a 4 años; ;5;
14/11/2021;De 5 a 11 años; ;19;
14/11/2021;De 12 a 19 años; ;6;
14/11/2021;De 20 a 29 años; ;17;
14/11/2021;De 30 a 39 años; ;36;
14/11/2021;De 40 a 49 años; ;29;
14/11/2021;De 50 a 59 años; ;27;
14/11/2021;De 60 a 69 años; ;26;
14/11/2021;De 65 años; ;6;
14/11/2021;De 66 años; ;1;
14/11/2021;De 67 años; ;3;
14/11/2021;De 68 años; ;5;
14/11/2021;De 70 a 79 años; ;7;
14/11/2021;De 80 y más años; ;13;
13/11/2021;TOTAL; ;312;
13/11/2021;De 0 a 4 años; ;11;
13/11/2021;De 5 a 11 años; ;27;
13/11/2021;De 12 a 19 años; ;11;
13/11/2021;De 20 a 29 años; ;26;
13/11/2021;De 30 a 39 años; ;54;
13/11/2021;De 40 a 49 años; ;60;
13/11/2021;De 50 a 59 años; ;58;
13/11/2021;De 60 a 69 años; ;33;
13/11/2021;De 65 años; ;4;
13/11/2021;De 66 años; ;6;
13/11/2021;De 67 años; ;1;
13/11/2021;De 69 años; ;1;
13/11/2021;De 70 a 79 años; ;23;
13/11/2021;De 80 y más años; ;9;
12/11/2021;TOTAL; ;465;
12/11/2021;De 0 a 4 años; ;18;
12/11/2021;De 5 a 11 años; ;62;
12/11/2021;De 12 a 19 años; ;22;
12/11/2021;De 20 a 29 años; ;50;
12/11/2021;De 30 a 39 años; ;55;
12/11/2021;De 40 a 49 años; ;81;
12/11/2021;De 50 a 59 años; ;60;
12/11/2021;De 60 a 69 años; ;58;
12/11/2021;De 65 años; ;3;
12/11/2021;De 66 años; ;9;
12/11/2021;De 67 años; ;9;
12/11/2021;De 68 años; ;1;
12/11/2021;De 69 años; ;5;
12/11/2021;De 70 a 79 años; ;39;
12/11/2021;De 80 y más años; ;20;
11/11/2021;TOTAL; ;437;
11/11/2021;De 0 a 4 años; ;12;
11/11/2021;De 5 a 11 años; ;53;
11/11/2021;De 12 a 19 años; ;20;
11/11/2021;De 20 a 29 años; ;27;
11/11/2021;De 30 a 39 años; ;73;
11/11/2021;De 40 a 49 años; ;86;
11/11/2021;De 50 a 59 años; ;67;
11/11/2021;De 60 a 69 años; ;52;
11/11/2021;De 65 años; ;4;
11/11/2021;De 66 años; ;3;
11/11/2021;De 67 años; ;6;
11/11/2021;De 68 años; ;11;
11/11/2021;De 69 años; ;2;
11/11/2021;De 70 a 79 años; ;33;
11/11/2021;De 80 y más años; ;14;
10/11/2021;TOTAL; ;462;
10/11/2021;De 0 a 4 años; ;27;
10/11/2021;De 5 a 11 años; ;61;
10/11/2021;De 12 a 19 años; ;21;
10/11/2021;De 20 a 29 años; ;48;
10/11/2021;De 30 a 39 años; ;83;
10/11/2021;De 40 a 49 años; ;88;
10/11/2021;De 50 a 59 años; ;55;
10/11/2021;De 60 a 69 años; ;41;
10/11/2021;De 65 años; ;9;
10/11/2021;De 66 años; ;6;
10/11/2021;De 67 años; ;2;
10/11/2021;De 68 años; ;6;
10/11/2021;De 69 años; ;2;
10/11/2021;De 70 a 79 años; ;26;
10/11/2021;De 80 y más años; ;11;
09/11/2021;TOTAL; ;480;
09/11/2021;De 0 a 4 años; ;13;
09/11/2021;De 5 a 11 años; ;36;
09/11/2021;De 12 a 19 años; ;19;
09/11/2021;De 20 a 29 años; ;51;
09/11/2021;De 30 a 39 años; ;116;
09/11/2021;De 40 a 49 años; ;93;
09/11/2021;De 50 a 59 años; ;61;
09/11/2021;De 60 a 69 años; ;47;
09/11/2021;De 65 años; ;9;
09/11/2021;De 66 años; ;7;
09/11/2021;De 67 años; ;2;
09/11/2021;De 68 años; ;2;
09/11/2021;De 69 años; ;4;
09/11/2021;De 70 a 79 años; ;35;
09/11/2021;De 80 y más años; ;9;
08/11/2021;TOTAL; ;236;
08/11/2021;De 0 a 4 años; ;6;
08/11/2021;De 5 a 11 años; ;31;
08/11/2021;De 12 a 19 años; ;11;
08/11/2021;De 20 a 29 años; ;21;
08/11/2021;De 30 a 39 años; ;34;
08/11/2021;De 40 a 49 años; ;53;
08/11/2021;De 50 a 59 años; ;24;
08/11/2021;De 60 a 69 años; ;33;
08/11/2021;De 65 años; ;3;
08/11/2021;De 66 años; ;3;
08/11/2021;De 67 años; ;3;
08/11/2021;De 68 años; ;4;
08/11/2021;De 69 años; ;6;
08/11/2021;De 70 a 79 años; ;11;
08/11/2021;De 80 y más años; ;12;
07/11/2021;TOTAL; ;85;
07/11/2021;De 0 a 4 años; ;2;
07/11/2021;De 5 a 11 años; ;5;
07/11/2021;De 12 a 19 años; ;7;
07/11/2021;De 20 a 29 años; ;6;
07/11/2021;De 30 a 39 años; ;17;
07/11/2021;De 40 a 49 años; ;19;
07/11/2021;De 50 a 59 años; ;8;
07/11/2021;De 60 a 69 años; ;10;
07/11/2021;De 65 años; ;0;
07/11/2021;De 67 años; ;3;
07/11/2021;De 68 años; ;1;
07/11/2021;De 69 años; ;1;
07/11/2021;De 70 a 79 años; ;6;
07/11/2021;De 80 y más años; ;5;
06/11/2021;TOTAL; ;240;
06/11/2021;De 0 a 4 años; ;11;
06/11/2021;De 5 a 11 años; ;36;
06/11/2021;De 12 a 19 años; ;16;
06/11/2021;De 20 a 29 años; ;10;
06/11/2021;De 30 a 39 años; ;27;
06/11/2021;De 40 a 49 años; ;49;
06/11/2021;De 50 a 59 años; ;30;
06/11/2021;De 60 a 69 años; ;37;
06/11/2021;De 65 años; ;2;
06/11/2021;De 66 años; ;3;
06/11/2021;De 67 años; ;6;
06/11/2021;De 68 años; ;4;
06/11/2021;De 69 años; ;3;
06/11/2021;De 70 a 79 años; ;17;
06/11/2021;De 80 y más años; ;7;
05/11/2021;TOTAL; ;351;
05/11/2021;De 0 a 4 años; ;14;
05/11/2021;De 5 a 11 años; ;38;
05/11/2021;De 12 a 19 años; ;17;
05/11/2021;De 20 a 29 años; ;33;
05/11/2021;De 30 a 39 años; ;66;
05/11/2021;De 40 a 49 años; ;71;
05/11/2021;De 50 a 59 años; ;49;
05/11/2021;De 60 a 69 años; ;36;
05/11/2021;De 65 años; ;4;
05/11/2021;De 66 años; ;8;
05/11/2021;De 67 años; ;5;
05/11/2021;De 68 años; ;3;
05/11/2021;De 70 a 79 años; ;20;
05/11/2021;De 80 y más años; ;7;
04/11/2021;TOTAL; ;319;
04/11/2021;De 0 a 4 años; ;13;
04/11/2021;De 5 a 11 años; ;38;
04/11/2021;De 12 a 19 años; ;20;
04/11/2021;De 20 a 29 años; ;30;
04/11/2021;De 30 a 39 años; ;52;
04/11/2021;De 40 a 49 años; ;52;
04/11/2021;De 50 a 59 años; ;39;
04/11/2021;De 60 a 69 años; ;41;
04/11/2021;De 65 años; ;1;
04/11/2021;De 66 años; ;4;
04/11/2021;De 68 años; ;2;
04/11/2021;De 69 años; ;8;
04/11/2021;De 70 a 79 años; ;21;
04/11/2021;De 80 y más años; ;13;
03/11/2021;TOTAL; ;390;
03/11/2021;De 0 a 4 años; ;20;
03/11/2021;De 5 a 11 años; ;32;
03/11/2021;De 12 a 19 años; ;31;
03/11/2021;De 20 a 29 años; ;38;
03/11/2021;De 30 a 39 años; ;54;
03/11/2021;De 40 a 49 años; ;74;
03/11/2021;De 50 a 59 años; ;50;
03/11/2021;De 60 a 69 años; ;51;
03/11/2021;De 65 años; ;6;
03/11/2021;De 66 años; ;3;
03/11/2021;De 67 años; ;5;
03/11/2021;De 68 años; ;3;
03/11/2021;De 69 años; ;6;
03/11/2021;De 70 a 79 años; ;27;
03/11/2021;De 80 y más años; ;13;
02/11/2021;TOTAL; ;279;
02/11/2021;De 0 a 4 años; ;9;
02/11/2021;De 5 a 11 años; ;28;
02/11/2021;De 12 a 19 años; ;7;
02/11/2021;De 20 a 29 años; ;30;
02/11/2021;De 30 a 39 años; ;47;
02/11/2021;De 40 a 49 años; ;52;
02/11/2021;De 50 a 59 años; ;43;
02/11/2021;De 60 a 69 años; ;31;
02/11/2021;De 65 años; ;2;
02/11/2021;De 66 años; ;3;
02/11/2021;De 67 años; ;4;
02/11/2021;De 68 años; ;2;
02/11/2021;De 69 años; ;5;
02/11/2021;De 70 a 79 años; ;21;
02/11/2021;De 80 y más años; ;11;
01/11/2021;TOTAL; ;115;
01/11/2021;De 0 a 4 años; ;3;
01/11/2021;De 5 a 11 años; ;4;
01/11/2021;De 12 a 19 años; ;3;
01/11/2021;De 20 a 29 años; ;14;
01/11/2021;De 30 a 39 años; ;13;
01/11/2021;De 40 a 49 años; ;29;
01/11/2021;De 50 a 59 años; ;14;
01/11/2021;De 60 a 69 años; ;14;
01/11/2021;De 65 años; ;1;
01/11/2021;De 66 años; ;1;
01/11/2021;De 67 años; ;1;
01/11/2021;De 68 años; ;2;
01/11/2021;De 69 años; ;1;
01/11/2021;De 70 a 79 años; ;16;
01/11/2021;De 80 y más años; ;5;
31/10/2021;TOTAL; ;92;
31/10/2021;De 5 a 11 años; ;3;
31/10/2021;De 12 a 19 años; ;4;
31/10/2021;De 20 a 29 años; ;5;
31/10/2021;De 30 a 39 años; ;12;
31/10/2021;De 40 a 49 años; ;19;
31/10/2021;De 50 a 59 años; ;23;
31/10/2021;De 60 a 69 años; ;17;
31/10/2021;De 65 años; ;2;
31/10/2021;De 67 años; ;2;
31/10/2021;De 69 años; ;1;
31/10/2021;De 70 a 79 años; ;6;
31/10/2021;De 80 y más años; ;3;
30/10/2021;TOTAL; ;171;
30/10/2021;De 0 a 4 años; ;7;
30/10/2021;De 5 a 11 años; ;16;
30/10/2021;De 12 a 19 años; ;8;
30/10/2021;De 20 a 29 años; ;13;
30/10/2021;De 30 a 39 años; ;29;
30/10/2021;De 40 a 49 años; ;39;
30/10/2021;De 50 a 59 años; ;20;
30/10/2021;De 60 a 69 años; ;23;
30/10/2021;De 65 años; ;2;
30/10/2021;De 66 años; ;1;
30/10/2021;De 67 años; ;2;
30/10/2021;De 68 años; ;1;
30/10/2021;De 69 años; ;2;
30/10/2021;De 70 a 79 años; ;11;
30/10/2021;De 80 y más años; ;3;
29/10/2021;TOTAL; ;290;
29/10/2021;De 0 a 4 años; ;8;
29/10/2021;De 5 a 11 años; ;26;
29/10/2021;De 12 a 19 años; ;13;
29/10/2021;De 20 a 29 años; ;29;
29/10/2021;De 30 a 39 años; ;57;
29/10/2021;De 40 a 49 años; ;44;
29/10/2021;De 50 a 59 años; ;44;
29/10/2021;De 60 a 69 años; ;36;
29/10/2021;De 65 años; ;1;
29/10/2021;De 66 años; ;5;
29/10/2021;De 67 años; ;6;
29/10/2021;De 68 años; ;2;
29/10/2021;De 69 años; ;5;
29/10/2021;De 70 a 79 años; ;23;
29/10/2021;De 80 y más años; ;9;
28/10/2021;TOTAL; ;267;
28/10/2021;De 0 a 4 años; ;13;
28/10/2021;De 5 a 11 años; ;37;
28/10/2021;De 12 a 19 años; ;7;
28/10/2021;De 20 a 29 años; ;25;
28/10/2021;De 30 a 39 años; ;48;
28/10/2021;De 40 a 49 años; ;41;
28/10/2021;De 50 a 59 años; ;33;
28/10/2021;De 60 a 69 años; ;36;
28/10/2021;De 65 años; ;3;
28/10/2021;De 66 años; ;3;
28/10/2021;De 67 años; ;4;
28/10/2021;De 68 años; ;1;
28/10/2021;De 69 años; ;4;
28/10/2021;De 70 a 79 años; ;18;
28/10/2021;De 80 y más años; ;9;
27/10/2021;TOTAL; ;304;
27/10/2021;De 0 a 4 años; ;17;
27/10/2021;De 5 a 11 años; ;23;
27/10/2021;De 12 a 19 años; ;22;
27/10/2021;De 20 a 29 años; ;34;
27/10/2021;De 30 a 39 años; ;63;
27/10/2021;De 40 a 49 años; ;63;
27/10/2021;De 50 a 59 años; ;29;
27/10/2021;De 60 a 69 años; ;28;
27/10/2021;De 65 años; ;2;
27/10/2021;De 66 años; ;2;
27/10/2021;De 67 años; ;4;
27/10/2021;De 68 años; ;5;
27/10/2021;De 69 años; ;2;
27/10/2021;De 70 a 79 años; ;17;
27/10/2021;De 80 y más años; ;8;
26/10/2021;TOTAL; ;294;
26/10/2021;De 0 a 4 años; ;13;
26/10/2021;De 5 a 11 años; ;34;
26/10/2021;De 12 a 19 años; ;12;
26/10/2021;De 20 a 29 años; ;24;
26/10/2021;De 30 a 39 años; ;40;
26/10/2021;De 40 a 49 años; ;59;
26/10/2021;De 50 a 59 años; ;39;
26/10/2021;De 60 a 69 años; ;39;
26/10/2021;De 66 años; ;1;
26/10/2021;De 67 años; ;3;
26/10/2021;De 68 años; ;4;
26/10/2021;De 69 años; ;6;
26/10/2021;De 70 a 79 años; ;30;
26/10/2021;De 80 y más años; ;4;
25/10/2021;TOTAL; ;208;
25/10/2021;De 0 a 4 años; ;10;
25/10/2021;De 5 a 11 años; ;17;
25/10/2021;De 12 a 19 años; ;8;
25/10/2021;De 20 a 29 años; ;19;
25/10/2021;De 30 a 39 años; ;31;
25/10/2021;De 40 a 49 años; ;49;
25/10/2021;De 50 a 59 años; ;22;
25/10/2021;De 60 a 69 años; ;25;
25/10/2021;De 65 años; ;2;
25/10/2021;De 66 años; ;4;
25/10/2021;De 68 años; ;3;
25/10/2021;De 70 a 79 años; ;19;
25/10/2021;De 80 y más años; ;7;
24/10/2021;TOTAL; ;113;
24/10/2021;De 0 a 4 años; ;5;
24/10/2021;De 5 a 11 años; ;7;
24/10/2021;De 12 a 19 años; ;1;
24/10/2021;De 20 a 29 años; ;15;
24/10/2021;De 30 a 39 años; ;16;
24/10/2021;De 40 a 49 años; ;21;
24/10/2021;De 50 a 59 años; ;14;
24/10/2021;De 60 a 69 años; ;13;
24/10/2021;De 65 años; ;1;
24/10/2021;De 67 años; ;1;
24/10/2021;De 68 años; ;1;
24/10/2021;De 69 años; ;1;
24/10/2021;De 70 a 79 años; ;9;
24/10/2021;De 80 y más años; ;12;
23/10/2021;TOTAL; ;171;
23/10/2021;De 0 a 4 años; ;16;
23/10/2021;De 5 a 11 años; ;10;
23/10/2021;De 12 a 19 años; ;8;
23/10/2021;De 20 a 29 años; ;12;
23/10/2021;De 30 a 39 años; ;28;
23/10/2021;De 40 a 49 años; ;28;
23/10/2021;De 50 a 59 años; ;21;
23/10/2021;De 60 a 69 años; ;28;
23/10/2021;De 65 años; ;1;
23/10/2021;De 66 años; ;1;
23/10/2021;De 67 años; ;1;
23/10/2021;De 69 años; ;4;
23/10/2021;De 70 a 79 años; ;13;
23/10/2021;De 80 y más años; ;7;
22/10/2021;TOTAL; ;213;
22/10/2021;De 0 a 4 años; ;8;
22/10/2021;De 5 a 11 años; ;21;
22/10/2021;De 12 a 19 años; ;6;
22/10/2021;De 20 a 29 años; ;25;
22/10/2021;De 30 a 39 años; ;33;
22/10/2021;De 40 a 49 años; ;40;
22/10/2021;De 50 a 59 años; ;28;
22/10/2021;De 60 a 69 años; ;28;
22/10/2021;De 65 años; ;3;
22/10/2021;De 66 años; ;2;
22/10/2021;De 67 años; ;1;
22/10/2021;De 69 años; ;3;
22/10/2021;De 70 a 79 años; ;16;
22/10/2021;De 80 y más años; ;8;
21/10/2021;TOTAL; ;268;
21/10/2021;De 0 a 4 años; ;7;
21/10/2021;De 5 a 11 años; ;33;
21/10/2021;De 12 a 19 años; ;14;
21/10/2021;De 20 a 29 años; ;31;
21/10/2021;De 30 a 39 años; ;51;
21/10/2021;De 40 a 49 años; ;41;
21/10/2021;De 50 a 59 años; ;38;
21/10/2021;De 60 a 69 años; ;29;
21/10/2021;De 65 años; ;1;
21/10/2021;De 66 años; ;4;
21/10/2021;De 67 años; ;1;
21/10/2021;De 68 años; ;4;
21/10/2021;De 69 años; ;2;
21/10/2021;De 70 a 79 años; ;16;
21/10/2021;De 80 y más años; ;7;
20/10/2021;TOTAL; ;290;
20/10/2021;De 0 a 4 años; ;8;
20/10/2021;De 5 a 11 años; ;28;
20/10/2021;De 12 a 19 años; ;23;
20/10/2021;De 20 a 29 años; ;30;
20/10/2021;De 30 a 39 años; ;53;
20/10/2021;De 40 a 49 años; ;52;
20/10/2021;De 50 a 59 años; ;36;
20/10/2021;De 60 a 69 años; ;33;
20/10/2021;De 65 años; ;4;
20/10/2021;De 66 años; ;3;
20/10/2021;De 67 años; ;2;
20/10/2021;De 68 años; ;3;
20/10/2021;De 69 años; ;2;
20/10/2021;De 70 a 79 años; ;18;
20/10/2021;De 80 y más años; ;9;
19/10/2021;TOTAL; ;259;
19/10/2021;De 0 a 4 años; ;11;
19/10/2021;De 5 a 11 años; ;32;
19/10/2021;De 12 a 19 años; ;22;
19/10/2021;De 20 a 29 años; ;26;
19/10/2021;De 30 a 39 años; ;29;
19/10/2021;De 40 a 49 años; ;42;
19/10/2021;De 50 a 59 años; ;41;
19/10/2021;De 60 a 69 años; ;28;
19/10/2021;De 65 años; ;4;
19/10/2021;De 66 años; ;2;
19/10/2021;De 67 años; ;2;
19/10/2021;De 68 años; ;4;
19/10/2021;De 69 años; ;3;
19/10/2021;De 70 a 79 años; ;21;
19/10/2021;De 80 y más años; ;7;
18/10/2021;TOTAL; ;216;
18/10/2021;De 0 a 4 años; ;10;
18/10/2021;De 5 a 11 años; ;28;
18/10/2021;De 12 a 19 años; ;16;
18/10/2021;De 20 a 29 años; ;19;
18/10/2021;De 30 a 39 años; ;32;
18/10/2021;De 40 a 49 años; ;39;
18/10/2021;De 50 a 59 años; ;22;
18/10/2021;De 60 a 69 años; ;23;
18/10/2021;De 65 años; ;2;
18/10/2021;De 66 años; ;1;
18/10/2021;De 67 años; ;3;
18/10/2021;De 68 años; ;5;
18/10/2021;De 69 años; ;2;
18/10/2021;De 70 a 79 años; ;19;
18/10/2021;De 80 y más años; ;8;
17/10/2021;TOTAL; ;79;
17/10/2021;De 0 a 4 años; ;4;
17/10/2021;De 5 a 11 años; ;3;
17/10/2021;De 12 a 19 años; ;2;
17/10/2021;De 20 a 29 años; ;10;
17/10/2021;De 30 a 39 años; ;19;
17/10/2021;De 40 a 49 años; ;16;
17/10/2021;De 50 a 59 años; ;6;
17/10/2021;De 60 a 69 años; ;9;
17/10/2021;De 66 años; ;1;
17/10/2021;De 67 años; ;2;
17/10/2021;De 68 años; ;2;
17/10/2021;De 70 a 79 años; ;4;
17/10/2021;De 80 y más años; ;4;
16/10/2021;TOTAL; ;150;
16/10/2021;De 0 a 4 años; ;4;
16/10/2021;De 5 a 11 años; ;8;
16/10/2021;De 12 a 19 años; ;9;
16/10/2021;De 20 a 29 años; ;22;
16/10/2021;De 30 a 39 años; ;18;
16/10/2021;De 40 a 49 años; ;28;
16/10/2021;De 50 a 59 años; ;27;
16/10/2021;De 60 a 69 años; ;19;
16/10/2021;De 65 años; ;3;
16/10/2021;De 66 años; ;3;
16/10/2021;De 67 años; ;2;
16/10/2021;De 68 años; ;1;
16/10/2021;De 69 años; ;3;
16/10/2021;De 70 a 79 años; ;10;
16/10/2021;De 80 y más años; ;5;
15/10/2021;TOTAL; ;259;
15/10/2021;De 0 a 4 años; ;12;
15/10/2021;De 5 a 11 años; ;33;
15/10/2021;De 12 a 19 años; ;17;
15/10/2021;De 20 a 29 años; ;21;
15/10/2021;De 30 a 39 años; ;38;
15/10/2021;De 40 a 49 años; ;64;
15/10/2021;De 50 a 59 años; ;34;
15/10/2021;De 60 a 69 años; ;23;
15/10/2021;De 66 años; ;2;
15/10/2021;De 67 años; ;2;
15/10/2021;De 69 años; ;4;
15/10/2021;De 70 a 79 años; ;13;
15/10/2021;De 80 y más años; ;4;
14/10/2021;TOTAL; ;314;
14/10/2021;De 0 a 4 años; ;10;
14/10/2021;De 5 a 11 años; ;18;
14/10/2021;De 12 a 19 años; ;21;
14/10/2021;De 20 a 29 años; ;32;
14/10/2021;De 30 a 39 años; ;46;
14/10/2021;De 40 a 49 años; ;62;
14/10/2021;De 50 a 59 años; ;60;
14/10/2021;De 60 a 69 años; ;30;
14/10/2021;De 65 años; ;4;
14/10/2021;De 67 años; ;1;
14/10/2021;De 68 años; ;6;
14/10/2021;De 69 años; ;3;
14/10/2021;De 70 a 79 años; ;24;
14/10/2021;De 80 y más años; ;11;
13/10/2021;TOTAL; ;233;
13/10/2021;De 0 a 4 años; ;12;
13/10/2021;De 5 a 11 años; ;21;
13/10/2021;De 12 a 19 años; ;15;
13/10/2021;De 20 a 29 años; ;21;
13/10/2021;De 30 a 39 años; ;42;
13/10/2021;De 40 a 49 años; ;38;
13/10/2021;De 50 a 59 años; ;37;
13/10/2021;De 60 a 69 años; ;20;
13/10/2021;De 65 años; ;4;
13/10/2021;De 66 años; ;2;
13/10/2021;De 67 años; ;1;
13/10/2021;De 68 años; ;4;
13/10/2021;De 69 años; ;2;
13/10/2021;De 70 a 79 años; ;16;
13/10/2021;De 80 y más años; ;11;
12/10/2021;TOTAL; ;151;
12/10/2021;De 0 a 4 años; ;7;
12/10/2021;De 5 a 11 años; ;12;
12/10/2021;De 12 a 19 años; ;6;
12/10/2021;De 20 a 29 años; ;34;
12/10/2021;De 30 a 39 años; ;25;
12/10/2021;De 40 a 49 años; ;20;
12/10/2021;De 50 a 59 años; ;15;
12/10/2021;De 60 a 69 años; ;12;
12/10/2021;De 65 años; ;1;
12/10/2021;De 66 años; ;1;
12/10/2021;De 68 años; ;1;
12/10/2021;De 69 años; ;4;
12/10/2021;De 70 a 79 años; ;16;
12/10/2021;De 80 y más años; ;4;
11/10/2021;TOTAL; ;238;
11/10/2021;De 0 a 4 años; ;8;
11/10/2021;De 5 a 11 años; ;20;
11/10/2021;De 12 a 19 años; ;16;
11/10/2021;De 20 a 29 años; ;25;
11/10/2021;De 30 a 39 años; ;32;
11/10/2021;De 40 a 49 años; ;42;
11/10/2021;De 50 a 59 años; ;36;
11/10/2021;De 60 a 69 años; ;37;
11/10/2021;De 65 años; ;8;
11/10/2021;De 66 años; ;4;
11/10/2021;De 67 años; ;3;
11/10/2021;De 68 años; ;3;
11/10/2021;De 69 años; ;2;
11/10/2021;De 70 a 79 años; ;13;
11/10/2021;De 80 y más años; ;9;
10/10/2021;TOTAL; ;82;
10/10/2021;De 0 a 4 años; ;4;
10/10/2021;De 5 a 11 años; ;5;
10/10/2021;De 12 a 19 años; ;7;
10/10/2021;De 20 a 29 años; ;9;
10/10/2021;De 30 a 39 años; ;9;
10/10/2021;De 40 a 49 años; ;11;
10/10/2021;De 50 a 59 años; ;13;
10/10/2021;De 60 a 69 años; ;9;
10/10/2021;De 66 años; ;1;
10/10/2021;De 67 años; ;1;
10/10/2021;De 68 años; ;1;
10/10/2021;De 70 a 79 años; ;6;
10/10/2021;De 80 y más años; ;9;
09/10/2021;TOTAL; ;145;
09/10/2021;De 0 a 4 años; ;7;
