Territorio;Edad;Sexo;Medida;Valor;
Jaén Nordeste;De 45 a 64 años;Ambos sexos;Nº casos;64;
Jaén Nordeste;De 45 a 64 años;Hombres;Nº casos;31;
Jaén Nordeste;De 45 a 64 años;Mujeres;Nº casos;33;
Jaén Nordeste;De 65 a 84 años;Ambos sexos;Nº casos;59;
Jaén Nordeste;De 65 a 84 años;Hombres;Nº casos;33;
Jaén Nordeste;De 65 a 84 años;Mujeres;Nº casos;26;
Jaén Nordeste;De 85 y más años;Ambos sexos;Nº casos;17;
Jaén Nordeste;De 85 y más años;Hombres;Nº casos;4;
Jaén Nordeste;De 85 y más años;Mujeres;Nº casos;13;
La Vega;TOTAL;Ambos sexos;Nº casos;159;
La Vega;TOTAL;Hombres;Nº casos;89;
La Vega;TOTAL;Mujeres;Nº casos;70;
La Vega;De 15 a 29 años;Ambos sexos;Nº casos;5;
La Vega;De 15 a 29 años;Hombres;Nº casos;3;
La Vega;De 15 a 29 años;Mujeres;Nº casos;2;
La Vega;De 30 a 44 años;Ambos sexos;Nº casos;16;
La Vega;De 30 a 44 años;Hombres;Nº casos;9;
La Vega;De 30 a 44 años;Mujeres;Nº casos;7;
La Vega;De 45 a 64 años;Ambos sexos;Nº casos;57;
La Vega;De 45 a 64 años;Hombres;Nº casos;39;
La Vega;De 45 a 64 años;Mujeres;Nº casos;18;
La Vega;De 65 a 84 años;Ambos sexos;Nº casos;61;
La Vega;De 65 a 84 años;Hombres;Nº casos;29;
La Vega;De 65 a 84 años;Mujeres;Nº casos;32;
La Vega;De 85 y más años;Ambos sexos;Nº casos;20;
La Vega;De 85 y más años;Hombres;Nº casos;9;
La Vega;De 85 y más años;Mujeres;Nº casos;11;
Axarquia;TOTAL;Ambos sexos;Nº casos;140;
Axarquia;TOTAL;Hombres;Nº casos;77;
Axarquia;TOTAL;Mujeres;Nº casos;63;
Axarquia;De 15 a 29 años;Ambos sexos;Nº casos;6;
Axarquia;De 15 a 29 años;Hombres;Nº casos;2;
Axarquia;De 15 a 29 años;Mujeres;Nº casos;4;
Axarquia;De 30 a 44 años;Ambos sexos;Nº casos;28;
Axarquia;De 30 a 44 años;Hombres;Nº casos;11;
Axarquia;De 30 a 44 años;Mujeres;Nº casos;17;
Axarquia;De 45 a 64 años;Ambos sexos;Nº casos;55;
Axarquia;De 45 a 64 años;Hombres;Nº casos;31;
Axarquia;De 45 a 64 años;Mujeres;Nº casos;24;
Axarquia;De 65 a 84 años;Ambos sexos;Nº casos;38;
Axarquia;De 65 a 84 años;Hombres;Nº casos;30;
Axarquia;De 65 a 84 años;Mujeres;Nº casos;8;
Axarquia;De 85 y más años;Ambos sexos;Nº casos;13;
Axarquia;De 85 y más años;Hombres;Nº casos;3;
Axarquia;De 85 y más años;Mujeres;Nº casos;10;
Valle del Guadalhorce;TOTAL;Ambos sexos;Nº casos;194;
Valle del Guadalhorce;TOTAL;Hombres;Nº casos;104;
Valle del Guadalhorce;TOTAL;Mujeres;Nº casos;90;
Valle del Guadalhorce;De 0 a 14 años;Ambos sexos;Nº casos;2;
Valle del Guadalhorce;De 0 a 14 años;Hombres;Nº casos;2;
Valle del Guadalhorce;De 0 a 14 años;Mujeres;Nº casos;;
Valle del Guadalhorce;De 15 a 29 años;Ambos sexos;Nº casos;7;
Valle del Guadalhorce;De 15 a 29 años;Hombres;Nº casos;4;
Valle del Guadalhorce;De 15 a 29 años;Mujeres;Nº casos;3;
Valle del Guadalhorce;De 30 a 44 años;Ambos sexos;Nº casos;35;
Valle del Guadalhorce;De 30 a 44 años;Hombres;Nº casos;16;
Valle del Guadalhorce;De 30 a 44 años;Mujeres;Nº casos;19;
Valle del Guadalhorce;De 45 a 64 años;Ambos sexos;Nº casos;83;
Valle del Guadalhorce;De 45 a 64 años;Hombres;Nº casos;44;
Valle del Guadalhorce;De 45 a 64 años;Mujeres;Nº casos;39;
Valle del Guadalhorce;De 65 a 84 años;Ambos sexos;Nº casos;54;
Valle del Guadalhorce;De 65 a 84 años;Hombres;Nº casos;34;
Valle del Guadalhorce;De 65 a 84 años;Mujeres;Nº casos;20;
Valle del Guadalhorce;De 85 y más años;Ambos sexos;Nº casos;13;
Valle del Guadalhorce;De 85 y más años;Hombres;Nº casos;4;
Valle del Guadalhorce;De 85 y más años;Mujeres;Nº casos;9;
Costa del Sol;TOTAL;Ambos sexos;Nº casos;535;
Costa del Sol;TOTAL;Hombres;Nº casos;287;
Costa del Sol;TOTAL;Mujeres;Nº casos;248;
Costa del Sol;De 0 a 14 años;Ambos sexos;Nº casos;4;
Costa del Sol;De 0 a 14 años;Hombres;Nº casos;4;
Costa del Sol;De 0 a 14 años;Mujeres;Nº casos;;
Costa del Sol;De 15 a 29 años;Ambos sexos;Nº casos;25;
Costa del Sol;De 15 a 29 años;Hombres;Nº casos;11;
Costa del Sol;De 15 a 29 años;Mujeres;Nº casos;14;
Costa del Sol;De 30 a 44 años;Ambos sexos;Nº casos;119;
Costa del Sol;De 30 a 44 años;Hombres;Nº casos;56;
Costa del Sol;De 30 a 44 años;Mujeres;Nº casos;63;
Costa del Sol;De 45 a 64 años;Ambos sexos;Nº casos;208;
Costa del Sol;De 45 a 64 años;Hombres;Nº casos;128;
Costa del Sol;De 45 a 64 años;Mujeres;Nº casos;80;
Costa del Sol;De 65 a 84 años;Ambos sexos;Nº casos;141;
Costa del Sol;De 65 a 84 años;Hombres;Nº casos;78;
Costa del Sol;De 65 a 84 años;Mujeres;Nº casos;63;
Costa del Sol;De 85 y más años;Ambos sexos;Nº casos;38;
Costa del Sol;De 85 y más años;Hombres;Nº casos;10;
Costa del Sol;De 85 y más años;Mujeres;Nº casos;28;
Málaga;TOTAL;Ambos sexos;Nº casos;1413;
Málaga;TOTAL;Hombres;Nº casos;729;
Málaga;TOTAL;Mujeres;Nº casos;684;
Málaga;De 0 a 14 años;Ambos sexos;Nº casos;1;
Málaga;De 0 a 14 años;Hombres;Nº casos;1;
Málaga;De 0 a 14 años;Mujeres;Nº casos;;
Málaga;De 15 a 29 años;Ambos sexos;Nº casos;96;
Málaga;De 15 a 29 años;Hombres;Nº casos;40;
Málaga;De 15 a 29 años;Mujeres;Nº casos;56;
Málaga;De 30 a 44 años;Ambos sexos;Nº casos;298;
Málaga;De 30 a 44 años;Hombres;Nº casos;135;
Málaga;De 30 a 44 años;Mujeres;Nº casos;163;
Málaga;De 45 a 64 años;Ambos sexos;Nº casos;602;
Málaga;De 45 a 64 años;Hombres;Nº casos;326;
Málaga;De 45 a 64 años;Mujeres;Nº casos;276;
Málaga;De 65 a 84 años;Ambos sexos;Nº casos;344;
Málaga;De 65 a 84 años;Hombres;Nº casos;200;
Málaga;De 65 a 84 años;Mujeres;Nº casos;144;
Málaga;De 85 y más años;Ambos sexos;Nº casos;72;
Málaga;De 85 y más años;Hombres;Nº casos;27;
Málaga;De 85 y más años;Mujeres;Nº casos;45;
Serranía;TOTAL;Ambos sexos;Nº casos;101;
Serranía;TOTAL;Hombres;Nº casos;36;
Serranía;TOTAL;Mujeres;Nº casos;65;
Serranía;De 15 a 29 años;Ambos sexos;Nº casos;6;
Serranía;De 15 a 29 años;Hombres;Nº casos;1;
Serranía;De 15 a 29 años;Mujeres;Nº casos;5;
Serranía;De 30 a 44 años;Ambos sexos;Nº casos;15;
Serranía;De 30 a 44 años;Hombres;Nº casos;6;
Serranía;De 30 a 44 años;Mujeres;Nº casos;9;
Serranía;De 45 a 64 años;Ambos sexos;Nº casos;24;
Serranía;De 45 a 64 años;Hombres;Nº casos;11;
Serranía;De 45 a 64 años;Mujeres;Nº casos;13;
Serranía;De 65 a 84 años;Ambos sexos;Nº casos;31;
Serranía;De 65 a 84 años;Hombres;Nº casos;10;
Serranía;De 65 a 84 años;Mujeres;Nº casos;21;
Serranía;De 85 y más años;Ambos sexos;Nº casos;25;
Serranía;De 85 y más años;Hombres;Nº casos;8;
Serranía;De 85 y más años;Mujeres;Nº casos;17;
Sevilla Sur;TOTAL;Ambos sexos;Nº casos;462;
Sevilla Sur;TOTAL;Hombres;Nº casos;185;
Sevilla Sur;TOTAL;Mujeres;Nº casos;277;
Sevilla Sur;De 0 a 14 años;Ambos sexos;Nº casos;1;
Sevilla Sur;De 0 a 14 años;Hombres;Nº casos;1;
Sevilla Sur;De 0 a 14 años;Mujeres;Nº casos;;
Sevilla Sur;De 15 a 29 años;Ambos sexos;Nº casos;20;
Sevilla Sur;De 15 a 29 años;Hombres;Nº casos;4;
Sevilla Sur;De 15 a 29 años;Mujeres;Nº casos;16;
Sevilla Sur;De 30 a 44 años;Ambos sexos;Nº casos;87;
Sevilla Sur;De 30 a 44 años;Hombres;Nº casos;29;
Sevilla Sur;De 30 a 44 años;Mujeres;Nº casos;58;
Sevilla Sur;De 45 a 64 años;Ambos sexos;Nº casos;165;
Sevilla Sur;De 45 a 64 años;Hombres;Nº casos;71;
Sevilla Sur;De 45 a 64 años;Mujeres;Nº casos;94;
Sevilla Sur;De 65 a 84 años;Ambos sexos;Nº casos;128;
Sevilla Sur;De 65 a 84 años;Hombres;Nº casos;54;
Sevilla Sur;De 65 a 84 años;Mujeres;Nº casos;74;
Sevilla Sur;De 85 y más años;Ambos sexos;Nº casos;61;
Sevilla Sur;De 85 y más años;Hombres;Nº casos;26;
Sevilla Sur;De 85 y más años;Mujeres;Nº casos;35;
Aljarafe;TOTAL;Ambos sexos;Nº casos;439;
Aljarafe;TOTAL;Hombres;Nº casos;179;
Aljarafe;TOTAL;Mujeres;Nº casos;260;
Aljarafe;De 0 a 14 años;Ambos sexos;Nº casos;2;
Aljarafe;De 0 a 14 años;Hombres;Nº casos;1;
Aljarafe;De 0 a 14 años;Mujeres;Nº casos;1;
Aljarafe;De 15 a 29 años;Ambos sexos;Nº casos;30;
Aljarafe;De 15 a 29 años;Hombres;Nº casos;12;
Aljarafe;De 15 a 29 años;Mujeres;Nº casos;18;
Aljarafe;De 30 a 44 años;Ambos sexos;Nº casos;78;
Aljarafe;De 30 a 44 años;Hombres;Nº casos;32;
Aljarafe;De 30 a 44 años;Mujeres;Nº casos;46;
Aljarafe;De 45 a 64 años;Ambos sexos;Nº casos;144;
Aljarafe;De 45 a 64 años;Hombres;Nº casos;81;
Aljarafe;De 45 a 64 años;Mujeres;Nº casos;63;
Aljarafe;De 65 a 84 años;Ambos sexos;Nº casos;105;
Aljarafe;De 65 a 84 años;Hombres;Nº casos;43;
Aljarafe;De 65 a 84 años;Mujeres;Nº casos;62;
Aljarafe;De 85 y más años;Ambos sexos;Nº casos;80;
Aljarafe;De 85 y más años;Hombres;Nº casos;10;
Aljarafe;De 85 y más años;Mujeres;Nº casos;70;
Sevilla Este;TOTAL;Ambos sexos;Nº casos;126;
Sevilla Este;TOTAL;Hombres;Nº casos;65;
Sevilla Este;TOTAL;Mujeres;Nº casos;61;
Sevilla Este;De 15 a 29 años;Ambos sexos;Nº casos;8;
Sevilla Este;De 15 a 29 años;Hombres;Nº casos;2;
Sevilla Este;De 15 a 29 años;Mujeres;Nº casos;6;
Sevilla Este;De 30 a 44 años;Ambos sexos;Nº casos;15;
Sevilla Este;De 30 a 44 años;Hombres;Nº casos;7;
Sevilla Este;De 30 a 44 años;Mujeres;Nº casos;8;
Sevilla Este;De 45 a 64 años;Ambos sexos;Nº casos;49;
Sevilla Este;De 45 a 64 años;Hombres;Nº casos;20;
Sevilla Este;De 45 a 64 años;Mujeres;Nº casos;29;
Sevilla Este;De 65 a 84 años;Ambos sexos;Nº casos;47;
Sevilla Este;De 65 a 84 años;Hombres;Nº casos;32;
Sevilla Este;De 65 a 84 años;Mujeres;Nº casos;15;
Sevilla Este;De 85 y más años;Ambos sexos;Nº casos;7;
Sevilla Este;De 85 y más años;Hombres;Nº casos;4;
Sevilla Este;De 85 y más años;Mujeres;Nº casos;3;
Sevilla Norte;TOTAL;Ambos sexos;Nº casos;184;
Sevilla Norte;TOTAL;Hombres;Nº casos;86;
Sevilla Norte;TOTAL;Mujeres;Nº casos;98;
Sevilla Norte;De 15 a 29 años;Ambos sexos;Nº casos;14;
Sevilla Norte;De 15 a 29 años;Hombres;Nº casos;6;
Sevilla Norte;De 15 a 29 años;Mujeres;Nº casos;8;
Sevilla Norte;De 30 a 44 años;Ambos sexos;Nº casos;50;
Sevilla Norte;De 30 a 44 años;Hombres;Nº casos;25;
Sevilla Norte;De 30 a 44 años;Mujeres;Nº casos;25;
Sevilla Norte;De 45 a 64 años;Ambos sexos;Nº casos;60;
Sevilla Norte;De 45 a 64 años;Hombres;Nº casos;26;
Sevilla Norte;De 45 a 64 años;Mujeres;Nº casos;34;
Sevilla Norte;De 65 a 84 años;Ambos sexos;Nº casos;45;
Sevilla Norte;De 65 a 84 años;Hombres;Nº casos;23;
Sevilla Norte;De 65 a 84 años;Mujeres;Nº casos;22;
Sevilla Norte;De 85 y más años;Ambos sexos;Nº casos;15;
Sevilla Norte;De 85 y más años;Hombres;Nº casos;6;
Sevilla Norte;De 85 y más años;Mujeres;Nº casos;9;
Sevilla;TOTAL;Ambos sexos;Nº casos;1134;
Sevilla;TOTAL;Hombres;Nº casos;481;
Sevilla;TOTAL;Mujeres;Nº casos;653;
Sevilla;De 0 a 14 años;Ambos sexos;Nº casos;3;
Sevilla;De 0 a 14 años;Hombres;Nº casos;2;
Sevilla;De 0 a 14 años;Mujeres;Nº casos;1;
Sevilla;De 15 a 29 años;Ambos sexos;Nº casos;78;
Sevilla;De 15 a 29 años;Hombres;Nº casos;25;
Sevilla;De 15 a 29 años;Mujeres;Nº casos;53;
Sevilla;De 30 a 44 años;Ambos sexos;Nº casos;217;
Sevilla;De 30 a 44 años;Hombres;Nº casos;96;
Sevilla;De 30 a 44 años;Mujeres;Nº casos;121;
Sevilla;De 45 a 64 años;Ambos sexos;Nº casos;369;
Sevilla;De 45 a 64 años;Hombres;Nº casos;187;
Sevilla;De 45 a 64 años;Mujeres;Nº casos;182;
Sevilla;De 65 a 84 años;Ambos sexos;Nº casos;276;
Sevilla;De 65 a 84 años;Hombres;Nº casos;134;
Sevilla;De 65 a 84 años;Mujeres;Nº casos;142;
Sevilla;De 85 y más años;Ambos sexos;Nº casos;191;
Sevilla;De 85 y más años;Hombres;Nº casos;37;
Sevilla;De 85 y más años;Mujeres;Nº casos;154;
