Fecha,Territorio,ConfirmadosPCR,ConfirmadosTotal,Hospitalizados,UCI,Defunciones
2020-03-16,Jaén,8,8,5,2,2
2020-03-16,Málaga,40,40,19,3,7
2020-03-16,Sevilla,20,20,11,0,0
2020-03-17,Andalucía,253,253,124,24,32
2020-03-17,Almería,8,8,2,1,1
2020-03-17,Cádiz,19,19,4,1,2
2020-03-17,Córdoba,29,29,13,4,3
2020-03-17,Granada,53,53,26,7,12
2020-03-17,Huelva,17,17,13,3,1
2020-03-17,Jaén,28,28,16,3,1
2020-03-17,Málaga,78,78,33,2,9
2020-03-17,Sevilla,21,21,17,3,3
2020-03-18,Andalucía,248,249,109,20,25
2020-03-18,Almería,5,5,4,2,2
2020-03-18,Cádiz,21,21,9,2,2
2020-03-18,Córdoba,15,15,3,1,0
2020-03-18,Granada,53,53,15,2,7
2020-03-18,Huelva,7,7,1,0,0
2020-03-18,Jaén,33,33,15,2,4
2020-03-18,Málaga,73,74,41,7,6
2020-03-18,Sevilla,41,41,21,4,4
2020-03-19,Andalucía,340,343,164,31,31
2020-03-19,Almería,9,9,5,2,2
2020-03-19,Cádiz,20,20,11,2,2
2020-03-19,Córdoba,38,38,20,5,1
2020-03-19,Granada,76,78,33,6,3
2020-03-19,Huelva,7,7,4,0,1
2020-03-19,Jaén,27,27,13,1,2
2020-03-19,Málaga,107,108,52,12,14
2020-03-19,Sevilla,56,56,26,3,6
2020-03-20,Andalucía,318,318,167,29,42
2020-03-20,Almería,9,9,4,1,1
2020-03-20,Cádiz,34,34,9,2,2
2020-03-20,Córdoba,24,24,13,3,3
2020-03-20,Granada,76,76,41,3,8
2020-03-20,Huelva,8,8,3,1,2
2020-03-20,Jaén,33,33,18,4,6
2020-03-20,Málaga,69,69,35,9,9
2020-03-20,Sevilla,65,65,44,6,11
2020-03-21,Andalucía,384,385,232,37,65
2020-03-21,Almería,10,10,7,1,3
2020-03-21,Cádiz,67,68,33,5,15
2020-03-21,Córdoba,19,19,15,1,2
2020-03-21,Granada,70,70,39,5,12
2020-03-21,Huelva,7,7,1,0,1
2020-03-21,Jaén,48,48,31,7,11
2020-03-21,Málaga,92,92,47,7,7
2020-03-21,Sevilla,71,71,59,11,14
2020-03-22,Andalucía,368,369,260,42,58
2020-03-22,Almería,12,12,8,1,2
2020-03-22,Cádiz,28,28,25,3,8
2020-03-22,Córdoba,27,27,20,6,4
2020-03-22,Granada,70,70,40,8,10
2020-03-22,Huelva,17,17,16,4,4
2020-03-22,Jaén,38,38,29,2,7
2020-03-22,Málaga,128,128,87,11,18
2020-03-22,Sevilla,48,49,35,7,5
2020-03-23,Andalucía,554,556,283,45,79
2020-03-23,Almería,20,20,14,1,1
2020-03-23,Cádiz,46,47,20,4,6
2020-03-23,Córdoba,55,55,32,7,1
2020-03-23,Granada,114,114,53,10,14
2020-03-23,Huelva,9,9,3,1,2
2020-03-23,Jaén,34,34,26,3,7
2020-03-23,Málaga,116,117,65,11,17
2020-03-23,Sevilla,160,160,70,8,31
2020-03-24,Andalucía,563,563,323,52,76
2020-03-24,Almería,26,26,18,3,3
2020-03-24,Cádiz,29,29,18,3,2
2020-03-24,Córdoba,65,65,38,4,4
2020-03-24,Granada,104,104,59,8,16
2020-03-24,Huelva,15,15,10,4,3
2020-03-24,Jaén,62,62,35,5,9
2020-03-24,Málaga,105,105,71,11,16
2020-03-24,Sevilla,157,157,74,14,23
2020-03-25,Andalucía,648,648,378,41,55
2020-03-25,Almería,31,31,18,3,2
2020-03-25,Cádiz,60,60,40,10,8
2020-03-25,Córdoba,74,74,29,0,3
2020-03-25,Granada,93,93,69,5,7
2020-03-25,Huelva,19,19,13,3,3
2020-03-25,Jaén,80,80,55,6,10
2020-03-25,Málaga,179,179,99,8,9
2020-03-25,Sevilla,112,112,55,6,13
2020-03-26,Andalucía,680,681,382,43,73
2020-03-26,Almería,17,17,11,2,3
2020-03-26,Cádiz,54,54,36,9,7
2020-03-26,Córdoba,31,32,22,4,3
2020-03-26,Granada,130,130,75,6,15
2020-03-26,Huelva,21,21,12,1,4
2020-03-26,Jaén,96,96,48,2,9
2020-03-26,Málaga,190,190,116,8,16
2020-03-26,Sevilla,141,141,62,11,16
2020-03-27,Andalucía,643,646,370,48,80
2020-03-27,Almería,39,39,21,3,6
2020-03-27,Cádiz,64,64,43,7,9
2020-03-27,Córdoba,57,57,40,5,11
2020-03-27,Granada,126,127,75,9,13
2020-03-27,Huelva,33,33,18,2,4
2020-03-27,Jaén,86,87,43,4,16
2020-03-27,Málaga,116,117,64,7,11
2020-03-27,Sevilla,122,122,66,11,10
2020-03-28,Andalucía,650,650,313,32,68
2020-03-28,Almería,17,17,11,2,1
2020-03-28,Cádiz,66,66,37,6,11
2020-03-28,Córdoba,91,91,36,4,12
2020-03-28,Granada,141,141,57,4,13
2020-03-28,Huelva,24,24,10,1,1
2020-03-28,Jaén,86,86,34,3,10
2020-03-28,Málaga,122,122,68,4,9
2020-03-28,Sevilla,103,103,60,8,11
2020-03-29,Andalucía,408,410,253,33,67
2020-03-29,Almería,17,17,11,4,2
2020-03-29,Cádiz,56,58,30,6,11
2020-03-29,Córdoba,67,67,24,2,7
2020-03-29,Granada,52,52,39,3,7
2020-03-29,Huelva,8,8,6,1,1
2020-03-29,Jaén,32,32,29,3,10
2020-03-29,Málaga,91,91,67,5,15
2020-03-29,Sevilla,85,85,47,9,14
2020-03-30,Andalucía,482,485,241,26,63
2020-03-30,Almería,17,17,8,1,2
2020-03-30,Cádiz,80,80,37,6,12
2020-03-30,Córdoba,23,23,13,2,1
2020-03-30,Granada,90,93,52,7,16
2020-03-30,Huelva,16,16,13,2,4
2020-03-30,Jaén,47,47,23,1,6
2020-03-30,Málaga,98,98,50,5,7
2020-03-30,Sevilla,111,111,45,2,15
2020-03-31,Andalucía,513,515,242,15,57
2020-03-31,Almería,22,22,6,1,2
2020-03-31,Cádiz,46,46,18,0,5
2020-03-31,Córdoba,76,76,26,1,5
2020-03-31,Granada,78,79,43,4,13
2020-03-31,Huelva,18,18,9,0,2
2020-03-31,Jaén,60,61,29,1,6
2020-03-31,Málaga,101,101,50,4,10
2020-03-31,Sevilla,112,112,61,4,14
2020-04-01,Andalucía,471,475,210,22,58
2020-04-01,Almería,13,13,6,1,1
2020-04-01,Cádiz,39,40,18,1,5
2020-04-01,Córdoba,87,87,21,0,6
2020-04-01,Granada,106,106,42,5,15
2020-04-01,Huelva,23,23,6,1,3
2020-04-01,Jaén,41,42,10,1,5
2020-04-01,Málaga,75,77,47,7,9
2020-04-01,Sevilla,87,87,60,6,14
2020-04-02,Andalucía,469,474,201,9,61
2020-04-02,Almería,26,26,4,0,3
2020-04-02,Cádiz,51,53,27,1,5
2020-04-02,Córdoba,54,55,22,2,10
