Lugar de residencia;Edad;Sexo;Medida;Valor;
Andalucía;De 40 a 49 años;Ambos sexos;Tasa_Mortalidad;14,150459817747853;
Andalucía;De 40 a 49 años;Ambos sexos;Total Confirmados;168893;
Andalucía;De 40 a 49 años;Ambos sexos;Tasa_total;12193,436785708613;
Andalucía;De 50 a 59 años;Ambos sexos;Confirmados PDIA;136627;
Andalucía;De 50 a 59 años;Ambos sexos;Tasa_PDIA;10800,374064936472;
Andalucía;De 50 a 59 años;Ambos sexos;Confirmados PDIA 14 días;19463;
Andalucía;De 50 a 59 años;Ambos sexos;Tasa PDIA 14 dias;1538,5515339271049;
Andalucía;De 50 a 59 años;Ambos sexos;Confirmados PDIA 7 días;11230;
Andalucía;De 50 a 59 años;Ambos sexos;Tasa PDIA 7 dias;887,7322985152026;
Andalucía;De 50 a 59 años;Ambos sexos;Fallecidos;714;
Andalucía;De 50 a 59 años;Ambos sexos;Tasa_Mortalidad;56,44175076935482;
Andalucía;De 50 a 59 años;Ambos sexos;Total Confirmados;137872;
Andalucía;De 50 a 59 años;Ambos sexos;Tasa_total;10898,791403462867;
Andalucía;De 60 a 69 años;Ambos sexos;Confirmados PDIA;81482;
Andalucía;De 60 a 69 años;Ambos sexos;Tasa_PDIA;8893,987536934575;
Andalucía;De 60 a 69 años;Ambos sexos;Confirmados PDIA 14 días;8176;
Andalucía;De 60 a 69 años;Ambos sexos;Tasa PDIA 14 dias;892,4332012220747;
Andalucía;De 60 a 69 años;Ambos sexos;Confirmados PDIA 7 días;4605;
Andalucía;De 60 a 69 años;Ambos sexos;Tasa PDIA 7 dias;502,648592420212;
Andalucía;De 60 a 69 años;Ambos sexos;Fallecidos;1579;
Andalucía;De 60 a 69 años;Ambos sexos;Tasa_Mortalidad;172,35225351390116;
Andalucía;De 60 a 69 años;Ambos sexos;Total Confirmados;82185;
Andalucía;De 60 a 69 años;Ambos sexos;Tasa_total;8970,721947460397;
Andalucía;De 65 años;Ambos sexos;Confirmados PDIA;7472;
Andalucía;De 65 años;Ambos sexos;Tasa_PDIA;8717,870935374349;
Andalucía;De 65 años;Ambos sexos;Confirmados PDIA 14 días;704;
Andalucía;De 65 años;Ambos sexos;Tasa PDIA 14 dias;821,383985345763;
Andalucía;De 65 años;Ambos sexos;Confirmados PDIA 7 días;385;
Andalucía;De 65 años;Ambos sexos;Tasa PDIA 7 dias;449,19436698596417;
Andalucía;De 65 años;Ambos sexos;Fallecidos;169;
Andalucía;De 65 años;Ambos sexos;Tasa_Mortalidad;197,17882602760503;
Andalucía;De 65 años;Ambos sexos;Total Confirmados;7528;
Andalucía;De 65 años;Ambos sexos;Tasa_total;8783,208297845034;
Andalucía;De 66 años;Ambos sexos;Confirmados PDIA;7162;
Andalucía;De 66 años;Ambos sexos;Tasa_PDIA;8237,959948929709;
Andalucía;De 66 años;Ambos sexos;Confirmados PDIA 14 días;692;
Andalucía;De 66 años;Ambos sexos;Tasa PDIA 14 dias;795,9603860177826;
Andalucía;De 66 años;Ambos sexos;Confirmados PDIA 7 días;415;
Andalucía;De 66 años;Ambos sexos;Tasa PDIA 7 dias;477,34618525632914;
Andalucía;De 66 años;Ambos sexos;Fallecidos;146;
Andalucía;De 66 años;Ambos sexos;Tasa_Mortalidad;167,9338386684917;
Andalucía;De 66 años;Ambos sexos;Total Confirmados;7206;
Andalucía;De 66 años;Ambos sexos;Tasa_total;8288,570146884596;
Andalucía;De 67 años;Ambos sexos;Confirmados PDIA;6757;
Andalucía;De 67 años;Ambos sexos;Tasa_PDIA;7972,20288589733;
Andalucía;De 67 años;Ambos sexos;Confirmados PDIA 14 días;577;
Andalucía;De 67 años;Ambos sexos;Tasa PDIA 14 dias;680,7697299338108;
Andalucía;De 67 años;Ambos sexos;Confirmados PDIA 7 días;312;
Andalucía;De 67 años;Ambos sexos;Tasa PDIA 7 dias;368,1111884564107;
Andalucía;De 67 años;Ambos sexos;Fallecidos;185;
Andalucía;De 67 años;Ambos sexos;Tasa_Mortalidad;218,27105725780763;
Andalucía;De 67 años;Ambos sexos;Total Confirmados;6798;
Andalucía;De 67 años;Ambos sexos;Tasa_total;8020,576471559872;
Andalucía;De 68 años;Ambos sexos;Confirmados PDIA;6329;
Andalucía;De 68 años;Ambos sexos;Tasa_PDIA;8065,194398073223;
Andalucía;De 68 años;Ambos sexos;Confirmados PDIA 14 días;516;
Andalucía;De 68 años;Ambos sexos;Tasa PDIA 14 dias;657,5510048042001;
Andalucía;De 68 años;Ambos sexos;Confirmados PDIA 7 días;297;
Andalucía;De 68 años;Ambos sexos;Tasa PDIA 7 dias;378,4741248582315;
Andalucía;De 68 años;Ambos sexos;Fallecidos;193;
Andalucía;De 68 años;Ambos sexos;Tasa_Mortalidad;245,9444649752144;
Andalucía;De 68 años;Ambos sexos;Total Confirmados;6367;
Andalucía;De 68 años;Ambos sexos;Tasa_total;8113,618696876632;
Andalucía;De 69 años;Ambos sexos;Confirmados PDIA;5758;
Andalucía;De 69 años;Ambos sexos;Tasa_PDIA;8105,520988766576;
Andalucía;De 69 años;Ambos sexos;Confirmados PDIA 14 días;516;
Andalucía;De 69 años;Ambos sexos;Tasa PDIA 14 dias;726,3718010079112;
Andalucía;De 69 años;Ambos sexos;Confirmados PDIA 7 días;300;
Andalucía;De 69 años;Ambos sexos;Tasa PDIA 7 dias;422,30918663250657;
Andalucía;De 69 años;Ambos sexos;Fallecidos;200;
Andalucía;De 69 años;Ambos sexos;Tasa_Mortalidad;281,5394577550044;
Andalucía;De 69 años;Ambos sexos;Total Confirmados;5793;
Andalucía;De 69 años;Ambos sexos;Tasa_total;8154,790393873702;
Andalucía;De 70 a 79 años;Ambos sexos;Confirmados PDIA;44991;
Andalucía;De 70 a 79 años;Ambos sexos;Tasa_PDIA;6917,637507860777;
Andalucía;De 70 a 79 años;Ambos sexos;Confirmados PDIA 14 días;3077;
Andalucía;De 70 a 79 años;Ambos sexos;Tasa PDIA 14 dias;473,1073017200687;
Andalucía;De 70 a 79 años;Ambos sexos;Confirmados PDIA 7 días;1954;
Andalucía;De 70 a 79 años;Ambos sexos;Tasa PDIA 7 dias;300,4392809753053;
Andalucía;De 70 a 79 años;Ambos sexos;Fallecidos;2923;
Andalucía;De 70 a 79 años;Ambos sexos;Tasa_Mortalidad;449,42887322969153;
Andalucía;De 70 a 79 años;Ambos sexos;Total Confirmados;45341;
Andalucía;De 70 a 79 años;Ambos sexos;Tasa_total;6971,4521180661795;
Andalucía;De 80 y más años;Ambos sexos;Confirmados PDIA;36833;
Andalucía;De 80 y más años;Ambos sexos;Tasa_PDIA;8907,273237311252;
Andalucía;De 80 y más años;Ambos sexos;Confirmados PDIA 14 días;1868;
Andalucía;De 80 y más años;Ambos sexos;Tasa PDIA 14 dias;451,7358457713849;
Andalucía;De 80 y más años;Ambos sexos;Confirmados PDIA 7 días;1246;
Andalucía;De 80 y más años;Ambos sexos;Tasa PDIA 7 dias;301,3184495884077;
Andalucía;De 80 y más años;Ambos sexos;Fallecidos;6019;
Andalucía;De 80 y más años;Ambos sexos;Tasa_Mortalidad;1455,5664109732152;
Andalucía;De 80 y más años;Ambos sexos;Total Confirmados;37428;
Andalucía;De 80 y más años;Ambos sexos;Tasa_total;9051,16126099111;
Almería;TOTAL;Ambos sexos;Confirmados PDIA;84511;
Almería;TOTAL;Ambos sexos;Tasa_PDIA;11609,530939837488;
Almería;TOTAL;Ambos sexos;Confirmados PDIA 14 días;9352;
Almería;TOTAL;Ambos sexos;Tasa PDIA 14 dias;1284,712443934638;
Almería;TOTAL;Ambos sexos;Confirmados PDIA 7 días;5630;
Almería;TOTAL;Ambos sexos;Tasa PDIA 7 dias;773,4100790581706;
Almería;TOTAL;Ambos sexos;Fallecidos;956;
Almería;TOTAL;Ambos sexos;Tasa_Mortalidad;131,32860312248866;
Almería;TOTAL;Ambos sexos;Total Confirmados;84826;
Almería;TOTAL;Ambos sexos;Tasa_total;11652,803439820316;
Almería;De 0 a 4 años;Ambos sexos;Confirmados PDIA;3693;
Almería;De 0 a 4 años;Ambos sexos;Tasa_PDIA;9633,494195904526;
Almería;De 0 a 4 años;Ambos sexos;Confirmados PDIA 14 días;301;
Almería;De 0 a 4 años;Ambos sexos;Tasa PDIA 14 dias;785,1832529020477;
