Lugar de residencia;Edad;Sexo;Medida;Valor;
Andalucía;De 85 y más años;Ambos sexos;Total Confirmados;16309;
Andalucía;De 85 y más años;Ambos sexos;Tasa_total;7727,589327596908;
Almería;TOTAL;Ambos sexos;Confirmados PDIA;51043;
Almería;TOTAL;Ambos sexos;Tasa_PDIA;7011,930846423837;
Almería;TOTAL;Ambos sexos;Confirmados PDIA 14 días;1866;
Almería;TOTAL;Ambos sexos;Tasa PDIA 14 dias;256,3380475173262;
Almería;TOTAL;Ambos sexos;Confirmados PDIA 7 días;932;
Almería;TOTAL;Ambos sexos;Tasa PDIA 7 dias;128,0316507428446;
Almería;TOTAL;Ambos sexos;Fallecidos;775;
Almería;TOTAL;Ambos sexos;Tasa_Mortalidad;106,46408725933965;
Almería;TOTAL;Ambos sexos;Total Confirmados;51349;
Almería;TOTAL;Ambos sexos;Tasa_total;7053,966989264299;
Almería;De 0 a 14 años;Ambos sexos;Confirmados PDIA;8204;
Almería;De 0 a 14 años;Ambos sexos;Tasa_PDIA;6699,439807934149;
Almería;De 0 a 14 años;Ambos sexos;Confirmados PDIA 14 días;303;
Almería;De 0 a 14 años;Ambos sexos;Tasa PDIA 14 dias;247,43177252609058;
Almería;De 0 a 14 años;Ambos sexos;Confirmados PDIA 7 días;160;
Almería;De 0 a 14 años;Ambos sexos;Tasa PDIA 7 dias;130,6570415979356;
Almería;De 0 a 14 años;Ambos sexos;Fallecidos;1;
Almería;De 0 a 14 años;Ambos sexos;Tasa_Mortalidad;0,8166065099870976;
Almería;De 0 a 14 años;Ambos sexos;Total Confirmados;8210;
Almería;De 0 a 14 años;Ambos sexos;Tasa_total;6704,339446994071;
Almería;De 15 a 29 años;Ambos sexos;Confirmados PDIA;11033;
Almería;De 15 a 29 años;Ambos sexos;Tasa_PDIA;8836,5089662574;
Almería;De 15 a 29 años;Ambos sexos;Confirmados PDIA 14 días;522;
Almería;De 15 a 29 años;Ambos sexos;Tasa PDIA 14 dias;418,0782815540979;
Almería;De 15 a 29 años;Ambos sexos;Confirmados PDIA 7 días;260;
Almería;De 15 a 29 años;Ambos sexos;Tasa PDIA 7 dias;208,238224528861;
Almería;De 15 a 29 años;Ambos sexos;Fallecidos;5;
Almería;De 15 a 29 años;Ambos sexos;Tasa_Mortalidad;4,004581240939635;
Almería;De 15 a 29 años;Ambos sexos;Total Confirmados;11089;
Almería;De 15 a 29 años;Ambos sexos;Tasa_total;8881,360276155923;
Almería;De 30 a 44 años;Ambos sexos;Confirmados PDIA;12573;
Almería;De 30 a 44 años;Ambos sexos;Tasa_PDIA;7252,53807106599;
Almería;De 30 a 44 años;Ambos sexos;Confirmados PDIA 14 días;437;
Almería;De 30 a 44 años;Ambos sexos;Tasa PDIA 14 dias;252,07660359944623;
Almería;De 30 a 44 años;Ambos sexos;Confirmados PDIA 7 días;218;
Almería;De 30 a 44 años;Ambos sexos;Tasa PDIA 7 dias;125,74988463313338;
Almería;De 30 a 44 años;Ambos sexos;Fallecidos;14;
Almería;De 30 a 44 años;Ambos sexos;Tasa_Mortalidad;8,075680664513152;
Almería;De 30 a 44 años;Ambos sexos;Total Confirmados;12648;
Almería;De 30 a 44 años;Ambos sexos;Tasa_total;7295,800646054453;
Almería;De 45 a 64 años;Ambos sexos;Confirmados PDIA;13494;
Almería;De 45 a 64 años;Ambos sexos;Tasa_PDIA;6794,938289633364;
Almería;De 45 a 64 años;Ambos sexos;Confirmados PDIA 14 días;460;
Almería;De 45 a 64 años;Ambos sexos;Tasa PDIA 14 dias;231,63417913378888;
Almería;De 45 a 64 años;Ambos sexos;Confirmados PDIA 7 días;229;
Almería;De 45 a 64 años;Ambos sexos;Tasa PDIA 7 dias;115,31353700356011;
Almería;De 45 a 64 años;Ambos sexos;Fallecidos;117;
Almería;De 45 a 64 años;Ambos sexos;Tasa_Mortalidad;58,91564991011587;
Almería;De 45 a 64 años;Ambos sexos;Total Confirmados;13621;
Almería;De 45 a 64 años;Ambos sexos;Tasa_total;6858,889465176822;
Almería;De 65 a 84 años;Ambos sexos;Confirmados PDIA;4722;
Almería;De 65 a 84 años;Ambos sexos;Tasa_PDIA;5029,289594205986;
Almería;De 65 a 84 años;Ambos sexos;Confirmados PDIA 14 días;133;
Almería;De 65 a 84 años;Ambos sexos;Tasa PDIA 14 dias;141,65512834167643;
Almería;De 65 a 84 años;Ambos sexos;Confirmados PDIA 7 días;62;
Almería;De 65 a 84 años;Ambos sexos;Tasa PDIA 7 dias;66,03472148258601;
Almería;De 65 a 84 años;Ambos sexos;Fallecidos;390;
Almería;De 65 a 84 años;Ambos sexos;Tasa_Mortalidad;415,3796996485249;
Almería;De 65 a 84 años;Ambos sexos;Total Confirmados;4755;
Almería;De 65 a 84 años;Ambos sexos;Tasa_total;5064,4371072531685;
Almería;De 85 y más años;Ambos sexos;Confirmados PDIA;1013;
Almería;De 85 y más años;Ambos sexos;Tasa_PDIA;6848,759380704482;
Almería;De 85 y más años;Ambos sexos;Confirmados PDIA 14 días;11;
Almería;De 85 y más años;Ambos sexos;Tasa PDIA 14 dias;74,36954905009803;
Almería;De 85 y más años;Ambos sexos;Confirmados PDIA 7 días;3;
Almería;De 85 y más años;Ambos sexos;Tasa PDIA 7 dias;20,282604286390374;
Almería;De 85 y más años;Ambos sexos;Fallecidos;248;
Almería;De 85 y más años;Ambos sexos;Tasa_Mortalidad;1676,6952876749374;
Almería;De 85 y más años;Ambos sexos;Total Confirmados;1022;
Almería;De 85 y más años;Ambos sexos;Tasa_total;6909,607193563654;
Cádiz;TOTAL;Ambos sexos;Confirmados PDIA;76158;
Cádiz;TOTAL;Ambos sexos;Tasa_PDIA;6121,784592086003;
Cádiz;TOTAL;Ambos sexos;Confirmados PDIA 14 días;2349;
Cádiz;TOTAL;Ambos sexos;Tasa PDIA 14 dias;188,8189291579351;
Cádiz;TOTAL;Ambos sexos;Confirmados PDIA 7 días;1003;
Cádiz;TOTAL;Ambos sexos;Tasa PDIA 7 dias;80,62383394866279;
Cádiz;TOTAL;Ambos sexos;Fallecidos;1413;
Cádiz;TOTAL;Ambos sexos;Tasa_Mortalidad;113,58073516396863;
Cádiz;TOTAL;Ambos sexos;Total Confirmados;76540;
Cádiz;TOTAL;Ambos sexos;Tasa_total;6152,490778096361;
Cádiz;De 0 a 14 años;Ambos sexos;Confirmados PDIA;9653;
Cádiz;De 0 a 14 años;Ambos sexos;Tasa_PDIA;4974,004091328342;
Cádiz;De 0 a 14 años;Ambos sexos;Confirmados PDIA 14 días;314;
Cádiz;De 0 a 14 años;Ambos sexos;Tasa PDIA 14 dias;161,79812334788141;
Cádiz;De 0 a 14 años;Ambos sexos;Confirmados PDIA 7 días;151;
Cádiz;De 0 a 14 años;Ambos sexos;Tasa PDIA 7 dias;77,80737778831241;
Cádiz;De 0 a 14 años;Ambos sexos;Fallecidos;0;
Cádiz;De 0 a 14 años;Ambos sexos;Tasa_Mortalidad;0;
Cádiz;De 0 a 14 años;Ambos sexos;Total Confirmados;9659;
Cádiz;De 0 a 14 años;Ambos sexos;Tasa_total;4977,09577521397;
Cádiz;De 15 a 29 años;Ambos sexos;Confirmados PDIA;14533;
Cádiz;De 15 a 29 años;Ambos sexos;Tasa_PDIA;7208,543311773342;
Cádiz;De 15 a 29 años;Ambos sexos;Confirmados PDIA 14 días;494;
Cádiz;De 15 a 29 años;Ambos sexos;Tasa PDIA 14 dias;245,029959128606;
Cádiz;De 15 a 29 años;Ambos sexos;Confirmados PDIA 7 días;218;
Cádiz;De 15 a 29 años;Ambos sexos;Tasa PDIA 7 dias;108,13062973691521;
Cádiz;De 15 a 29 años;Ambos sexos;Fallecidos;4;
Cádiz;De 15 a 29 años;Ambos sexos;Tasa_Mortalidad;2,0;
Cádiz;De 15 a 29 años;Ambos sexos;Total Confirmados;14562;
Cádiz;De 15 a 29 años;Ambos sexos;Tasa_total;7222,92766160073;
Cádiz;De 30 a 44 años;Ambos sexos;Confirmados PDIA;17746;
